id	alias	apt	attack_country	attack_means	attack_target	belong_country	create_time	creation_date	note	update_time	status
58	Ajax Security Team,Operation Saffron Rose,Thamar Reservoir,TEMP.Beanie,Flying Kitten,Rocket Kitten,Operation Woolen Goldfish,Operation Woolen-Goldfish,Timberworm	AjaxTM				伊朗	2022-04-27		Ajax Security Team是一个至少自2010年以来一直活跃的组织，据信其活动范围不在伊朗。到2014年，Ajax Security Team从网站破坏行动转变为基于恶意软件的网络间谍活动，目标是美国国防工业基地和伊朗用户的反审查技术.	2022-11-01	保留
61	APT14,APT 14,ALUMINUM,QAZTeam	AnchorPanda				中国	2022-04-27		PLA NavyAnchor Panda是一个攻击者，CrowdStrike在去年广泛跟踪了绿色/棕色水域的民用和军事海上行动，主要是在中国人民解放军海军南海舰队的行动区域。除了在这一地区的海上行动，Anchor Panda还重点针对美国、德国、瑞典、英国和澳大利亚的西方公司，以及其他涉及海事卫星系统的国家，航空航天公司和国防承包商。毫不奇怪，该地区的大使馆和外交使团、外国情报机构和有太空计划的外国政府也成为攻击目标.	2022-11-17	保留
64	Empire Monkey,CobaltGoblin,ANTHROPOID SPIDER	AnthropoidSpider					2022-04-27		被公众称为帝国猴子”的ANTHROPOID SPIDER在2019年2月和3月开展了钓鱼活动，欺骗了法国、挪威和伯利兹的金融监管机构和机构。这些活动使用了支持宏功能的微软文档来交付PowerShell Empire后开发框架。ANTHROPOID SPIDER可能导致了一起据称涉及通过SWIFT网络进行欺诈性转账的入侵事件.	2022-11-01	保留
67	Antlion	蚁狮				中国	2022-04-27		Antlion是中国政府支持的advanced persistent threat (APT)组织，其目标是台湾的金融机构。这种持续的运动已经持续了至少18个月.	2022-11-01	保留
70	Comment Group,Brown Fox,Comment Panda,Byzantine Candor,Shanghai Group,Group 3,GIF89a,Advanced Persistent Threat 1,APT 1,TG-8223,PLA Unit 61398,ShadyRAT,Comment Crew	APT1		钓鱼邮件	以英语为主要工作语言的机构	中国	2022-04-27	NULL	APT1是一个中国的威胁组织，被认为是来自人民解放军总参谋部(GSD)第三部门第二局，通常被称为其军事单位掩护指示器(MUCD) 61398部队.	2022-04-27	保留
73	happyyongzi,Stone Panda,Menupass Team,APT 10,MenuPass,Red Apollo，TA429,menuPass,HOGFISH,POTASSIUM,Red Apollo,CVNX,DustStorm,Cloud Hopper,BRONZE RIVERSIDE,Cicada,menuPass Team,apt_menupass,MirrorFace	APT10		钓鱼邮件	医疗保健|国防|航空航天、政府部门	中国	2022-04-27		menuPass是一个至少自2006年以来一直活跃的威胁组织。据悉，menuPass的个人成员与中国国家安全部天津国家安全局有联系，并为华英海泰科技发展公司工作。\nmenuPass的目标是全球的医疗保健、国防、航空航天、金融、海事、生物技术、能源和政府部门，重点是日本的组织。据悉，在2016年和2017年，该集团的目标是管理信息技术(msp)、制造、矿业企业、大学等。”	2023-07-14	保留
76	Crimson Iron,Numbered Panda,DynCalc,DNSCALC,Calc Team,APT 12,BRONZE GLOBE,BeeBus,DNSCalc,TG-2754,IXESHE,Group 22	APT12	欧盟|俄罗斯|韩国|美国	利用Dropbox等云存储工具	社交媒体|美国和台湾政府机构|大型公司|国防承包商	中国	2022-04-27	NULL	APT12是一个被认为来自中国的威胁组织。该组织针对各种受害者，包括但不限于媒体机构、高科技公司和多个政府。	2022-04-27	保留
79	Ke3chang,Social Network Team,Playful Dragon,Ke3Chang,GREF,Mirage,Metushy,Lurid,APT 15,Royal APT,Vixen Panda,BRONZE PALACE,RoyalAPT	APT15				中国	2022-04-27	NULL	该威胁行为人使用网络钓鱼技术，以间谍为目的，破坏欧洲国家外交部门的网络.	2022-04-27	保留
82	SVCMONDR	APT16	日本|台湾	钓鱼邮件	媒体机构	中国	2022-04-27	NULL	APT16是一个总部位于中国大陆的威胁组织，它针对日本和台湾的组织发起了钓鱼活动。\n2015年11月26日至12月1日期间，已知和可疑的中国APT组织针对日本和台湾高科技、政府服务、媒体和金融服务行业的组织发起了几次鱼叉式网络钓鱼攻击。每次活动都发布了一个恶意的Microsoft Word文档，利用上述EPS dict copy - use- free漏洞和Windows本地特权升级漏洞CVE-2015-1701。对这两个漏洞的成功利用导致了我们称之为IRONHALO的下载程序或称为ELMER的后门程序的	2022-04-27	保留
85	Deputy Dog,Hidden Lynx,Aurora Panda,Dogfish,Group 8,APT 17,Tailgater Team,BRONZE KEYSTONE	APT17	美国	网络钓鱼	政府实体|国防工业|律师事务所|信息技术公司|矿业公司|非政府组织	中国	2022-04-27	NULL	APT17是一个总部位于中国的威胁组织，它曾对美国政府实体、国防工业、律师事务所、信息技术公司、矿业公司和非政府组织进行网络入侵	2022-04-27	保留
88	PLA Navy,Dynamite Panda,SCANDIUM,APT 18,Wekby,Threat Group-0416,TG-0416	APT18	China	phishingemail|waterhole	govnment		2022-04-27	NULL	APT18是一个至少从2009年就开始运作的威胁组织，袭击了一系列行业，包括技术、制造业、人权组织、政府和医疗。	2022-04-27	保留
91	Codoso,Black Vine,Sh3llCr3w,Deep Panda,KungFu Kittens,C0d0so0,BRONZE FIRESTONE,Group 13,Codoso Team,PinkPanther,Shell Crew,APT 19,WebMasters,Sunshop Group	APT19	澳洲	钓鱼邮件	国防|金融|能源|制药|电信|高科技|教育	中国	2022-04-27	NULL	APT19是一个总部位于中国的威胁组织，目标涉及多个行业，包括国防、金融、能源、制药、电信、高科技、教育、制造业和法律服务。2017年，一场网络钓鱼运动被用于攻击7家法律和投资公司。一些分析人士认为APT19和Deep Panda是同一个组织，但从开源信息来看，这两个组织是否相同尚不清楚。	2022-04-27	保留
94	4HCrew,APT 2,SULPHUR,SearchFire,Putter Panda,PLA Unit 61486,TG-6952,MSUpdater,APT-2,Group 36	APT2				中国	2022-04-27	NULL	Putter Panda 是中国的一个威胁组织，被认为是解放军第三总参谋部第十二局61486部队的成员.	2022-04-27	保留
97	Twivy,TH3Bug,APT 20,Violin Panda	APT20				中国	2022-04-27	NULL	Violin Panda组织利用水坑攻击传播Poison Ivy，主要攻击目标包括美国的制造业，大学和电信行业	2022-04-27	保留
100	APT 21,NetTraveler,TravNet	APT21				中国	2022-04-27	NULL	NetTraveler组织最早活跃于2004年。主要通过发送带有恶意Microsoft Office附件的鱼叉式网络钓鱼电子邮件来感染受害者。攻击主要的目标实体为蒙古，俄罗斯，印度，哈萨克斯坦，吉尔吉斯斯坦，中国，塔吉克斯坦，韩国，西班牙和德国	2022-04-27	保留
103	BRONZE OLIVE	APT22	美国		生物医学、制药和医疗保健实体	中国	2022-04-27	NULL	APT22在2014年初至2015年中期对印度政府和商业组织进行了长期的间谍活动。该组织使用了一系列定制工具（ Angryrebel、DestroyRAT）并结合了韩国移动运营商的失窃证书来进行入侵	2022-04-27	保留
106	Tropic Trooper,BRONZE HOBART,Pirate Panda,APT 23,TropicTrooper,KeyBoy,apt_23	APT23				中国	2022-04-27		一个针对台湾和菲律宾政府、国防和重工业的APT组织	2023-07-07	保留
109	pfinet,pacifierapt,bronzeexpress,turla,venomousbear,turbinepanda,waterbug,jerseymikes,sig23,uroburos,turlateam,popeye,tag_0530,group88,belugasturgeon,ironhunter,hippoteam,whitebear,wraith,snake,makersmark,turlagroup,krypton,bronze,apt-c-29,APT-Q-78	APT26	中国、中东、欧洲、北美、南美	通过水坑攻击，漏洞攻击, 鱼叉攻击安装恶意软件程序攻击各类机构	针对中东、欧洲、北美和南美以及前苏联国家政府机构，大使馆，以及医学研究和制药公司等重点部门和机构发起攻击	俄罗斯	2022-04-27		Turla Group是一个俄罗斯APT组织，自2014年以来已感染超过45个国家数百台计算机，其中包括政府、军事、外交、教育和医药行业。该组织攻击的规模和手段堪称史诗级别，最初的攻击阶段就包括四种不同的方法：Adobe PDF漏洞来欺骗电子邮件，.SCR扩展名的恶意软件安装程序，Java漏洞、Flash漏洞或Internet Explorer 6,7,8漏洞的水坑攻击和依靠社会工程来诱骗用户运行假冒的Flash Player恶意软件安装程序的水坑攻击。若受害目标为攻击者所感兴趣的，将会升级更复杂的后门：	2023-10-17	保留
