id	alias	attack_country	attack_means	attack_target	belong_country	create_time	creation_date	family	note	update_time	apts	status	system_tool	system_type	threat_type
5202	win.9002,homeunix,hydraq,mcrat					NULL		9002	9002 	2024-09-04	Aurora Panda, APT31, Group 27	保留	\0	win	远控
5203	win.3pararat					NULL		3ParaRat	3PARA RAT 是一个用 C++ 编程的远程访问工具 (RAT)，Putter Panda 一直在使用它。	NULL	Putter Panda	保留	\0	win	远控
5204	404keylogger,snakekeylogger,win.404keylogger					NULL		404KeyLogger	Snake Keylogger（又名 404 键盘记录器）是一个基于订阅的键盘记录器，具有许多功能。 信息窃取者可以窃取受害者的敏感信息、记录键盘敲击、截取屏幕截图并从系统剪贴板中提取信息。 它最初于 2019 年 8 月在俄罗斯黑客论坛上发布。它以其相对不寻常的数据泄露方法而著称，包括通过电子邮件、FTP、SMTP、Pastebin 或消息传递应用程序 Telegram。	NULL		保留	\0	win	窃密
5205	win.4h_rat					NULL		4HRat	4H RAT 是 Putter Panda 至少从 2007 年开始使用的恶意软件。	NULL	Putter Panda	保留	\0	win	远控
5206	win.7ev3n					NULL		7Ev3n	NJCCIC 将 7ev3n 描述为“针对 Windows 操作系统并通过包含恶意附件的垃圾邮件以及文件共享网络进行传播的勒索软件。它在 LocalAppData 文件夹中安装多个文件，每个文件控制不同的功能，包括禁用启动恢复选项， 删除勒索软件安装文件、加密数据并获得管理员权限。此变种还添加了禁用各种 Windows 功能键的注册表项，例如 F1、F3、F4、F10、Alt、Num Lock、Ctrl、Enter、Escape、Shift 和 选项卡。由 7ev3n 加密的文件标有 .R5A 扩展名。它还将受害者锁定在 Windows 恢复选项之外，使得修复 7ev3n 造成的损害具有挑战性。	NULL		保留	\0	win	勒索
5207	apk.888_rat,888_rat					NULL		888Rat	888RAT是一款支持Windows、Android和Linux平台的商业远控工具	NULL		保留	\0	apk	远控
5208	8t_dropper,royalroad,win.8t_dropper					NULL		8TDropper	中国威胁攻击者 TA428 使用 8T_Dropper 在 LagTime IT 行动期间将 Cotx RAT 安装到受害者的机器上。 根据 Proofpoint 的说法，这次攻击是针对东亚一些负责监督政府信息技术、内政、外交、经济发展和政治进程的政府机构发起的。 Dropper 是通过利用 CVE-2018-0798 的 RTF 文档交付的。	NULL	Hellsing, Ice Fog, Pirate Panda, RANCOR, TA428, Tick, Tonto Team, Karma Panda	保留	\0	win	木马
5209	win.abaddon					NULL		Abaddon	使用 Discord 作为 C&C，具有勒索软件功能。	NULL		保留	\0	win	勒索
5210	win.abaddon_pos,pinkkite,tinypos					NULL		AbaddonPos	“AbaddonPOS ”除了包含Vawtrack银行木马，还包含钓鱼攻击工具包、Bedep广告欺诈恶意软件、Pony infostealer和TinyLoader等恶意程序	NULL		保留	\0	win	木马
5211	win.abantes,小丑					NULL		Abantes	又名小丑病毒	2023-11-27		保留	\0	win	木马
5212	win.abbath_banker					NULL		AbbathBanker	一种针对银行的恶意软件	NULL		保留	\0	win	木马
5213	elf.abcbot					NULL		AbcBot	Abcbot是一个攻击常见数据库和WEB大型服务器的僵尸网络，通过弱口令&Nday漏洞实现蠕虫式传播，主要盈利手段为DDoS	NULL		保留	\0	elf	僵尸网络
5214	apk.aberebot,escobar					NULL		AbereBot	Aberebot是一种流行的Android银行木马，受害者包括18个国家/地区的140多家银行和金融机构的客户，可以窃取登录凭据等敏感信息， 能够滥用 Android 无障碍服务为自己启用各种其他权限。辅助功能服务还允许威胁通过监视设备的屏幕来监视用户的活动。	NULL		保留	\0	apk	窃密
5215	android.abk					NULL		ABK	ABK 是 BRONZE BUTLER 至少从 2019 年开始使用的下载器。	NULL	BRONZE BUTLER	保留	\0	android	下载器
5216	win.absentloader					NULL		AbsentLoader	Absent-Loader 是一种将其他恶意软件的代码加载到失陷主机中，同时也会进行信息窃取的恶意软件	NULL		保留	\0	win	窃密
5217	apk.abstract_emu					NULL		AbstractEmu	Abstract Emu能够对智能手机进行 root ，并完全控制受感染的智能手机，同时采取措施逃避检测，其使用了代码抽象和反仿真检查	NULL		保留	\0	apk	木马
5218	acad.bursted,fas.acad,duxfas					NULL		Acad	作为 AutoCAD 的快速自动加载 LISP (FAS) 模块组成的小型下载器。	NULL		保留	\0	fas	下载器
5219	elf.acbackdoor,win.acbackdoor					NULL		AcbackDoor	一个显然移植到 Windows 的 Linux 后门。 此条目代表 Linux 版本。 这个版本似乎是先编写的，Windows 版本是后来移植的，没有完整的功能。 Linux 版本提供了持久性以及一些进程操作技术，尽管这两个版本显然都提供了访问命令行和执行程序以及自我更新的能力。	NULL		保留	\0	elf,win	远控
5220	win.acehash					NULL		AceHash	ACEHASH 被 FireEye 描述为组合的凭证收集器，它由两个组件组成，一个加载器和加密/压缩的有效负载。 要执行，需要密码（例如 9839D7F1A0）并且各个模块使用参数（-m、-w、-h）寻址。	NULL	APT41	保留	\0	win	窃密
5221	win.acidbox,magicscroll					NULL		AcidBox	如 Dr.Web 所述，Unit42 于 2019 年 2 月发现了 AcidBox，并将其描述为 2017 年未知威胁行为者针对俄罗斯实体使用的恶意软件系列。 它重用并改进了 Turla 以前使用的 VirtualBox 漏洞利用程序。 该恶意软件本身是一个模块化工具包，具有用户模式和内核模式组件以及反分析技术，例如基于堆栈的字符串混淆或动态 XOR 编码的 API 使用。	NULL		保留	\0	win	远控
5222	elf.acidrain					NULL		AcidRain	用于 Viasat KA-SAT 调制解调器的具有抽头功能的 MIPS ELF 二进制文件。	NULL		保留	\0	elf	远控
5223	win.acridrain					NULL		AcridRain	AcridRain 是一个用 C/C++ 编写的密码窃取器。 该恶意软件可以从多个浏览器中窃取凭据、cookie、信用卡。 它还可以转储 Telegram 和 Steam 会话、窃取 Filezilla 最近的连接等等。	NULL		保留	\0	win	窃密
5224	win.acronym					NULL		Acronym	此恶意软件用于调试 C＆C 服务器的 URL 恶意代码，与 “Potao” 网络间谍行动有潜在联系	NULL		保留	\0	win	远控
5225	apk.actionspy,axespy					NULL		ActionSpy	ActionSpy 可能自 2017 年以来就已经存在，它是一种 Android 间谍软件，它使攻击者能够从受感染设备中收集信息。	NULL	POISON CARP	保留	\0	apk	窃密
5226	win.adam_locker					NULL		AdamLocker	Adam Locker（检测为 RANSOM_ADAMLOCK.A）是一种勒索软件，它会加密受害者系统上的目标文件，但会为他们提供一个免费的解密密钥，可以通过 URL 缩短和广告服务 Adf.ly 访问该密钥。	NULL		保留	\0	win	勒索
5227	win.adamantium_thief					NULL		AdamantiumThief	Adamantium Thief 是恶意软件，作为窃取程序运行。成功渗透后，此恶意软件会尝试从已安装的浏览器中提取和泄露敏感信息和个人信息。	NULL		保留	\0	win	窃密
5228	adbupd					NULL		Adbupd	adbupd 是 PLATINUM 使用的后门，类似于 Dipsind。	NULL	PLATINUM	保留	\0		远控
5229	adfind					NULL		AdFind	AdFind 是一个免费的命令行查询工具，可用于从 Active Directory 收集信息。	NULL	FIN6,Wizard Spider,menuPass,APT29,FIN7	保留	\0		正常软件
5230	win.adhubllka					NULL		Adhubllka	TA547 在澳大利亚分发的一些勒索软件	NULL		保留	\0	win	勒索
5231	win.adkoob					NULL		Adkoob	AdKoob是一个凭证窃取的恶意软件。它会将你Facebook账户中的信息数据发送给未知的接受者。	NULL		保留	\0	win	窃密
5232	apk.adobot					NULL		AdoBot		NULL		保留	\0	apk	
5233	apk.adultswine					NULL		AdultSwine	来自以色列的安全专家报道，谷歌商店内至少有60款程序包括游戏，感染了恶意病毒。该恶意病毒名为“adultswine”，显示色情图像看起来像用来提示用户下载假冒安全软件的广告。用户点击其他链接，然后鼓励他们将不得不支付	NULL		保留	\0	apk	木马
5234	android.adups					NULL		Adups	Adups 是预装在 Android 设备上的软件，包括由 BLU Products 制造的设备。 据报道，该软件旨在帮助一家中国手机制造商监控用户行为，将敏感数据传输到中国服务器。	NULL		保留	\0	android	窃密
5235	win.advisorsbot					NULL		AdvisorsBot	AdvisorsBot 是一个以早期命令和控制域命名的下载器，这些域都包含“顾问”一词。 该恶意软件是用 C 语言编写的，并采用了许多反分析功能，例如垃圾代码、堆栈字符串和 Windows API 函数散列。	NULL		保留	\0	win	下载器
5236	sedreco,advstoreshell,eviltoss,azzy,netui					NULL		AdvstoreShell	ADVSTORESHELL 是一个间谍后门，至少从 2012 年到 2016 年被 APT28 使用。它通常用于长期间谍活动，并部署在侦察阶段后被认为感兴趣的目标上。	NULL		保留	\0		远控
5237	unrecom,jar.adwind,jsocket,alienspy,sockrat,jbifrost,frutas,Adwind,AdwindRAT,Adwind RAT,Adwind家族					NULL		Adwind	恶意软件即服务平台的一部分用作基于 Java 的 RATF 功能的通用名称 - 收集一般系统和用户信息 - 终止进程 - 记录击键 - 截屏并访问网络摄像头 - 从本地或 Web 表单中窃取缓存密码 - 下载并执行恶意软件 - 修改注册表- 下载组件- 拒绝服务攻击- 获取 VPN 证书	NULL		保留	\0	jar	窃密
5238	win.adylkuzz					NULL		Adylkuzz	Adylkuzz，一款恶意软件，Adylkuzz软件并不会为受感染电脑的文件加密，然后要求用户支付赎金，而是利用受感染的电脑来“挖掘”虚拟门罗币，然后把钱转入自己的户头。	NULL		保留	\0	win	挖矿
5239	jar.adzok					NULL		Adzok	Packrat 黑客组织是一个高级持续性威胁 (APT)，已在南美洲（阿根廷、巴西和厄瓜多尔）开展了多项影响深远的行动。其最常用的威胁包括Alien Spy 、Adzok、 Cybergate和Xtreme RAT 。	NULL	Packrat	保留	\0	jar	远控
5240	win.afrodita					NULL		Afrodita	Afrodita勒索软件正在通过网络钓鱼电子邮件进行传播，该网络钓鱼电子邮件包含欺诈性消息，其中包含各种社交工程技巧和损坏的附件	NULL		保留	\0	win	勒索
5241	elf.age_locker					NULL		AgeLocker		NULL		保留	\0	elf	
5242	android.agentsmith					NULL		AgentSmith	Agent Smith 是一种移动恶意软件，它通过将设备上的合法应用程序替换为包含欺诈性广告的恶意版本来产生经济利益。 截至 2019 年 7 月，史密斯特工已经感染了大约 2500 万台设备，主要针对印度，但在其他亚洲国家以及沙特阿拉伯、英国和美国也观察到了影响。	NULL		保留	\0	android	窃密
5243	sunrootkit,minit,comrat,win.agent_btz					NULL		Agentbtz	ComRAT，也称为Agent.BTZ，是一种用于远程访问特洛伊木马，由Turla组织开发维护的运用了Snake/Uroburos rootkit技术的用户模式RAT	NULL	Turla Group	保留	\0	win	远控
5244	negasteal,agenttesla,win.agent_tesla,agentesla,Agent Tesla,AgentTesla!MTB					NULL		AgentTesla	基于 .NET 的键盘记录器和 RAT 可供演员随时使用。 记录击键和主机的剪贴板，并将此信息发送回 C2。	2024-10-09	SWEED	保留	\0	win	窃密
5245	win.agfspy					NULL		AgfSpy	agfSpy 后门从其 C&C 服务器检索配置和命令。 这些命令允许后门执行shell命令并将执行结果发送回服务器。 它还枚举目录，并可以列出、上传、下载和执行文件，以及其他功能。 agfSpy 的功能与 dneSpy 非常相似，只是每个后门使用不同的 C&C 服务器和各种格式的消息交换。	NULL		保留	\0	win	远控
5246	apk.ahmyth,AhMyth RAT,AhMythRAT,android_ahmythrat					NULL		Ahmyth	AhMyth是一款可能控制安卓手机的远程控制软件，可以直接生成远控木马	2023-07-07		保留	\0	apk	远控
5247	win.ahtapot					NULL		Ahtapot	Ahtapot远程访问特洛伊木马程序	NULL		保留	\0	win	远控
5248	orz,js.airbreak					NULL		AirBreak	AIRBREAK，一个基于 JavaScript 的后门，它从受感染网页中的隐藏字符串中检索命令。	NULL	Leviathan	保留	\0	js	远控
5249	cloudbot,elf.airdrop					NULL		AirDrop	AirDropBot 用于创建 DDoS 僵尸网络。 它以蠕虫病毒的形式传播，目前针对的是 Linksys 路由器。 此系列中存在后门和其他机器人功能。 开发似乎正在进行中。	NULL		保留	\0	elf	僵尸网络
5250	elf.aisuru					NULL		Aisuru	Mirai 的蜜罐感知变体。	NULL		保留	\0	elf	僵尸网络
5251	bluetraveller,win.albaniiutas,Albaniiutas					NULL		Albaniiutas	究人员发现TA428 组织使用的Albaniiutas 木马是BlueTraveller木马的更新版本，因此，研究人员将这一系列针对俄罗斯的攻击事件归因于TaskMasters和TA428组织	NULL	TA428	保留	\0	win	远控
5252	win.aldibot					NULL		AldiBot	据趋势科技百科全书：ALDIBOT 于 2012 年 8 月下旬首次出现在相关论坛中。 变体可以从浏览器 Mozilla Firefox、即时通讯客户端 Pidgin 和下载管理器 jDownloader 窃取密码。 ALDIBOT 变体将收集到的信息发送到它们的命令和控制 (C&C) 服务器。	NULL		保留	\0	win	窃密
5253	win.alfonso_stealer					NULL		AlfonsoStealer	一款特洛伊窃密木马	NULL		保留	\0	win	窃密
5254	win.alice_atm,pralice,aliceatm					NULL		AliceATM	新ATM恶意程式alice，专门用来清空自动提款机	NULL		保留	\0	win	木马
5255	apk.alien					NULL		Alien	根据 ThreatFabric 的说法，这是 Cerberus v1 的一个分支（2020 年 1 月以上活动）。 Alien是一款租用的银行木马，可以远程控制手机，通过滥用TeamViewer实现RAT功能。	NULL		保留	\0	apk	窃密
5256	katrina,alina_spark,win.alina_pos,alina_eagle,Alina POS,Alina					NULL		AlinaPos	alina是一个销售点恶意软件或网络犯罪分子用来抓取的POS RAM抓取工具信用卡和借记卡 来自的信息 销售点 系统。它于2012年底开始抓取信息。它类似于JackPOS恶意软件。	NULL		保留	\0	win	窃密
5257	win.allakore					NULL		Allakore	AllaKore 是一个用 Delphi 编写的简单远程访问工具，于 2015 年首次观察到，但仍处于早期开发阶段。 它实现了使用帧缓冲区的 RFB 协议，因此只能将屏幕帧的变化发送回控制器，从而加快传输和可视化控制。	NULL		保留	\0	win	远控
5258	starman,win.allaple					NULL		Allaple	Allaple该家族是一种多线程的多态感染型的网络蠕虫	NULL		保留	\0	win	蠕虫
5259	android.allwinner					NULL		AllWinner	Allwinner 是一家提供用于 Android 平板电脑和其他设备的处理器的公司。 据报道，Allwinner 分发的用于这些设备的 Linux 内核包含一个后门。	NULL		保留	\0	android	远控
5260	win.alma_communicator,Alma Communicator					NULL		AlmaCommunicator	OilRig的DNS隧道木马-ALMA Communicator，该恶意文档还可以存储类似Mimikatz之类的后渗透凭证收集工具	NULL	OilRig	保留	\0	win	木马
5261	win.alma_locker					NULL		AlmaLocker	Alma Locker是高风险的勒索软件，使用AES-128加密技术对文件进行加密	NULL		保留	\0	win	勒索
5262	win.almanahe					NULL		Almanahe	一种蠕虫病毒	NULL		保留	\0	win	蠕虫
